"%IDData";"%IDUnidade";"%IDMunicipio";"%IDExame";"Qtde. Vendas";"Vlr. Vendas";"Vlr. Unit. Vendas"
01/01/2019;"53";"3106200";"130";12;244.2;20.35
01/01/2019;"53";"3106200";"130";34;1153.28;33.92
01/01/2019;"52";"3106200";"131";1;3.33;3.33
01/01/2019;"54";"3106200";"131";1;22.4;22.4
01/01/2019;"54";"3170107";"131";1;27.07;27.07
01/01/2019;"50";"3106200";"131";1;33.92;33.92
01/01/2019;"55";"3170107";"131";2;52.58;26.29
01/01/2019;"56";"3106200";"131";3;101.76;33.92
01/01/2019;"53";"3106200";"131";6;203.52;33.92
01/01/2019;"59";"3106200";"131";12;248.64;20.72
01/01/2019;"51";"3106200";"132";1;3.16;3.16
01/01/2019;"50";"3106200";"132";1;12.96;12.96
01/01/2019;"59";"3106200";"132";2;70.74;35.37
01/01/2019;"52";"3106200";"132";3;54;18
01/01/2019;"53";"3106705";"137";1;2.7;2.7
01/01/2019;"52";"3106200";"137";1;6.1;6.1
01/01/2019;"56";"3106200";"137";1;6.1;6.1
01/01/2019;"55";"3170107";"137";1;6.51;6.51
01/01/2019;"53";"3106200";"137";3;6.6;2.2
01/01/2019;"54";"3144805";"137";4;24.4;6.1
01/01/2019;"59";"3106200";"137";5;7.6;1.52
01/01/2019;"52";"3106200";"137";5;17.7;3.54
01/01/2019;"58";"3106200";"137";6;19.56;3.26
01/01/2019;"50";"3106200";"137";11;40.68;3.7
01/01/2019;"56";"3170107";"137";12;37.2;3.1
01/01/2019;"54";"3106200";"137";22;48.4;2.2
01/01/2019;"54";"3144805";"137";43;94.6;2.2
01/01/2019;"58";"3106705";"140";1;10.86;10.86
01/01/2019;"54";"3106200";"140";2;14.2;7.1
01/01/2019;"50";"3106200";"140";10;75.7;7.57
01/01/2019;"59";"3106200";"143";1;58.4;58.4
01/01/2019;"51";"3106200";"143";2;947.76;473.88
01/01/2019;"59";"3106200";"151";1;902.82;902.82
01/01/2019;"58";"3170107";"151";1;902.82;902.82
01/01/2019;"59";"3106200";"157";1;12.44;12.44
01/01/2019;"58";"3106200";"157";1;17.58;17.58
01/01/2019;"56";"3170107";"157";1;18.5;18.5
01/01/2019;"53";"3106200";"157";1;22.27;22.27
01/01/2019;"56";"3106200";"157";1;23;23
01/01/2019;"58";"3106200";"157";1;25.18;25.18
01/01/2019;"50";"3106200";"157";1;30.4;30.4
01/01/2019;"54";"3106200";"157";1;30.4;30.4
