%IDData,%IDUnidade,%IDMunicipio,%IDExame,Qtde. Vendas,Vlr. Vendas,Vlr. Unit. Vendas
01/01/2019,54,3144805,569,1,24.85,24.85
01/01/2019,54,3144805,570,1,24.12,24.12
01/01/2019,54,3144805,605,1,8.75,8.75
01/01/2019,54,3144805,606,45,439.2,9.76
01/01/2019,54,3144805,608,21,63,3.
01/01/2019,54,3144805,631,3,18.78,6.26
01/01/2019,54,3144805,631,143,1022.45,7.15
01/01/2019,54,3144805,633,3,22.29,7.43
01/01/2019,54,3144805,633,141,1212.6,8.6
01/01/2019,54,3144805,640,2,268,134.
01/01/2019,54,3144805,653,1,5.95,5.95
01/01/2019,54,3144805,653,17,101.15,5.95
01/01/2019,54,3144805,657,12,84.24,7.02
01/01/2019,54,3144805,659,1,7.02,7.02
01/01/2019,54,3144805,660,15,264.6,17.64
01/01/2019,54,3144805,683,1,11.89,11.89
01/01/2019,54,3144805,683,2,12,6.
01/01/2019,54,3144805,683,35,276.5,7.9
01/01/2019,54,3144805,687,1,7.77,7.77
01/01/2019,54,3144805,700,1,390,390.
01/01/2019,54,3144805,707,4,17.76,4.44
01/01/2019,54,3144805,719,1,8.83,8.83
01/01/2019,54,3144805,722,104,312,3.
01/01/2019,54,3144805,743,4,100,25.
01/01/2019,54,3144805,751,9,261,29.
01/01/2019,54,3144805,764,7,95.9,13.7
01/01/2019,54,3144805,767,2,10.14,5.07
01/01/2019,54,3144805,767,7,16.38,2.34
01/01/2019,54,3144805,776,2,26,13.
01/01/2019,54,3144805,776,5,19.5,3.9
01/01/2019,54,3144805,803,2,47.26,23.63
01/01/2019,54,3144805,833,1,24.43,24.43
01/01/2019,54,3144805,835,1,24.42,24.42
01/01/2019,54,3144805,841,2,27.5,13.75
01/01/2019,54,3144805,841,9,74.25,8.25
01/01/2019,54,3144805,845,2,60,30.
01/01/2019,54,3144805,845,4,100.04,25.01
01/01/2019,54,3144805,848,1,16.5,16.5
01/01/2019,54,3144805,863,1,67.81,67.81
01/01/2019,54,3144805,863,2,81.36,40.68
01/01/2019,54,3144805,897,3,13.14,4.38
01/01/2019,54,3144805,897,116,475.6,4.1
01/01/2019,54,3144805,933,1,29.7,29.7
01/01/2019,54,3144805,991,15,147,9.8
01/01/2019,53,3144805,992,2,40.1,20.05
01/01/2019,54,3144805,992,368,1656,4.5
01/01/2019,54,3144805,997,1,47,47.
01/01/2019,54,3144805,998,10,58.4,5.84
01/01/2019,54,3144805,998,76,319.2,4.2
01/01/2019,54,3144805,1000,1,4.67,4.67
01/01/2019,54,3144805,1000,4,25.2,6.3
01/01/2019,54,3144805,1000,1010,3939,3.9
01/01/2019,54,3144805,1001,1,5.26,5.26
01/01/2019,54,3144805,1001,4,24.8,6.2
01/01/2019,54,3144805,1001,1013,4052,4.
01/01/2019,54,3144805,1008,1,40.49,40.49
01/01/2019,54,3144805,1016,1,4.89,4.89
01/01/2019,54,3144805,1021,37,515.04,13.92
01/01/2019,54,3144805,1022,38,516.04,13.58
01/01/2019,54,3144805,1033,1,33.68,33.68
01/01/2019,54,3144805,1051,1,9.12,9.12
01/01/2019,53,3144805,1051,1,12.49,12.49
01/01/2019,54,3144805,1051,3,24.66,8.22
01/01/2019,54,3144805,1061,1,8,8.
01/01/2019,54,3144805,1061,15,58.5,3.9
01/01/2019,54,3144805,1073,1,36,36.
